year,CO2_price,location,total_cost,EU_TS_penalty,FuelEU_penalty,amount_VLSFO,amount_MDO,amount_BIO-DIESEL,amount_LNG,amount_E-METHANOL
2035,130,Berth,498900.0,250068.0,139033.69,,,,,
2035,130,Intra,1017852.422,250068.0,0.0,,600.0,,,211.05527638190955
2035,130,Inter,508926.211,62517.0,0.0,,300.0,,,105.52763819095478
2035,130,Berth,291025.0,145873.0,57249.17,,,,,
2035,150,Intra,10187402.529,3483592.68,2584608.63,5743.90243902439,1500.0,,,
2035,150,Inter,4461159.947,870311.71,645580.43,2819.512195121951,800.0,,,
2035,150,Berth,831500.0,480900.0,572491.68,,,,,
2035,150,Intra,2877785.338,923971.78,0.0,721.3387014122002,1200.0,392.18985921041235,,
2035,150,Inter,1438892.669,230992.95,0.0,360.6693521170725,600.0,196.09492840000053,,
2035,150,Berth,582050.0,336630.0,245353.58,,,,,
2035,150,Intra,1733829.261,503197.3,349564.4,,1000.0,,54.054054054054056,
2035,150,Inter,1044864.12,167606.76,83238.44,,500.0,,229.72972972972974,
2035,150,Berth,498900.0,288540.0,139033.69,,,,,
2035,150,Intra,1056324.422,288540.0,0.0,,600.0,,,211.05527638190955
2035,150,Inter,528162.211,72135.0,0.0,,300.0,,,105.52763819095478
2035,150,Berth,291025.0,168315.0,57249.17,,,,,
2035,170,Intra,10651881.553,3948071.71,2584608.63,5743.90243902439,1500.0,,,
2035,170,Inter,4693243.069,986353.27,645580.43,2819.512195121951,800.0,,,
2035,170,Berth,831500.0,545020.0,572491.68,,,,,
2035,170,Intra,3000981.576,1047168.02,0.0,721.338701021666,1200.0,392.1898595439936,,
2035,170,Inter,1500490.788,261792.01,0.0,360.66935171495,600.0,196.0949287434802,,
2035,170,Berth,582050.0,381514.0,245353.58,,,,,
2035,170,Intra,1800922.234,570290.27,349564.4,,1000.0,,54.054054054054056,
2035,170,Inter,1089559.255,189954.32,83238.44,,500.0,,229.72972972972974,
2035,170,Berth,498900.0,327012.0,139033.69,,,,,
2035,170,Intra,1094796.422,327012.0,0.0,,600.0,,,211.05527638190955
2035,170,Inter,547398.211,81753.0,0.0,,300.0,,,105.52763819095478
2035,170,Berth,291025.0,190757.0,57249.17,,,,,
2035,190,Intra,11116360.578,4412550.73,2584608.63,5743.90243902439,1500.0,,,
2035,190,Inter,4925326.191,1102394.83,645580.43,2819.512195121951,800.0,,,
2035,190,Berth,831500.0,609140.0,572491.68,,,,,
2035,190,Intra,3124177.813,1170364.26,0.0,721.3387042485207,1200.0,392.189856787722,,
2035,190,Inter,1562088.907,292591.06,0.0,360.6693489412529,600.0,196.0949311126798,,
2035,190,Berth,582050.0,426398.0,245353.58,,,,,
2035,190,Intra,1868015.207,637383.24,349564.4,,1000.0,,54.054054054054056,
2035,190,Inter,1134254.39,212301.89,83238.44,,500.0,,229.72972972972974,
2035,190,Berth,498900.0,365484.0,139033.69,,,,,
2035,190,Intra,1133268.422,365484.0,0.0,,600.0,,,211.05527638190955
2035,190,Inter,566634.211,91371.0,0.0,,300.0,,,105.52763819095478
2035,190,Berth,291025.0,213199.0,57249.17,,,,,
2040,90,Intra,11684141.54,2090155.61,5474784.71,5743.90243902439,1500.0,,,
2040,90,Inter,4487564.934,522187.02,1368234.79,2819.512195121951,800.0,,,
2040,90,Berth,831500.0,288540.0,1252768.21,,,,,
2040,90,Intra,2948325.342,411741.21,0.0,226.9813990371624,1200.0,814.453388322424,,
2040,90,Inter,1474162.67,102935.3,0.0,113.49070151274715,600.0,407.2266924578618,,
2040,90,Berth,582050.0,201978.0,536900.66,,,,,
2040,90,Intra,1973434.577,301918.38,790448.63,,1000.0,,54.054054054054056,
2040,90,Inter,1064163.165,100564.05,236622.9,,500.0,,229.72972972972974,
2040,90,Berth,498900.0,173124.0,304243.71,,,,,
2040,90,Intra,1077059.995,173124.0,136151.57,,600.0,,,211.05527638190955
2040,90,Inter,504492.104,43281.0,34037.89,,300.0,,,105.52763819095478
2040,90,Berth,291025.0,100989.0,125276.82,,,,,
2040,110,Intra,12148620.565,2554634.63,5474784.71,5743.90243902439,1500.0,,,
2040,110,Inter,4719648.056,638228.59,1368234.79,2819.512195121951,800.0,,,
2040,110,Berth,831500.0,352660.0,1252768.21,,,,,
2040,110,Intra,3039823.392,503239.26,0.0,226.9813940802427,1200.0,814.4533925564593,,
2040,110,Inter,1519911.693,125809.82,0.0,113.49070140943583,600.0,407.22669254610685,,
2040,110,Berth,582050.0,246862.0,536900.66,,,,,
2040,110,Intra,2040527.55,369011.35,790448.63,,1000.0,,54.054054054054056,
2040,110,Inter,1108858.301,122911.62,236622.9,,500.0,,229.72972972972974,
2040,110,Berth,498900.0,211596.0,304243.71,,,,,
2040,110,Intra,1115531.995,211596.0,136151.57,,600.0,,,211.05527638190955
2040,110,Inter,523728.104,52899.0,34037.89,,300.0,,,105.52763819095478
2040,110,Berth,291025.0,123431.0,125276.82,,,,,
2040,130,Intra,12613099.589,3019113.66,5474784.71,5743.90243902439,1500.0,,,
2040,130,Inter,4951731.178,754270.15,1368234.79,2819.512195121951,800.0,,,
2040,130,Berth,831500.0,416780.0,1252768.21,,,,,
2040,130,Intra,3131321.437,594737.31,0.0,226.98139839870464,1200.0,814.4533888677728,,
2040,130,Inter,1565660.717,148684.33,0.0,113.49070150055825,600.0,407.2266924682732,,
2040,130,Berth,582050.0,291746.0,536900.66,,,,,
2040,130,Intra,2107620.523,436104.32,790448.63,,1000.0,,54.054054054054056,
2040,130,Inter,1153553.436,145259.19,236622.9,,500.0,,229.72972972972974,
2040,130,Berth,498900.0,250068.0,304243.71,,,,,
2040,130,Intra,1154003.995,250068.0,136151.57,,600.0,,,211.05527638190955
2040,130,Inter,542964.104,62517.0,34037.89,,300.0,,,105.52763819095478
2040,130,Berth,291025.0,145873.0,125276.82,,,,,
2040,150,Intra,13077578.613,3483592.68,5474784.71,5743.90243902439,1500.0,,,
2040,150,Inter,5183814.3,870311.71,1368234.79,2819.512195121951,800.0,,,
2040,150,Berth,831500.0,480900.0,1252768.21,,,,,
2040,150,Intra,3222819.487,686235.35,0.0,226.98139253357857,1200.0,814.4533938775684,,
2040,150,Inter,1611409.741,171558.84,0.0,113.49070162395088,600.0,407.22669236287527,,
2040,150,Berth,582050.0,336630.0,536900.66,,,,,
2040,150,Intra,2174713.496,503197.3,790448.63,,1000.0,,54.054054054054056,
2040,150,Inter,1198248.571,167606.76,236622.9,,500.0,,229.72972972972974,
2040,150,Berth,498900.0,288540.0,304243.71,,,,,
2040,150,Intra,1192475.995,288540.0,136151.57,,600.0,,,211.05527638190955
2040,150,Inter,562200.104,72135.0,34037.89,,300.0,,,105.52763819095478
2040,150,Berth,291025.0,168315.0,125276.82,,,,,
2040,170,Intra,13542057.638,3948071.71,5474784.71,5743.90243902439,1500.0,,,
2040,170,Inter,5415897.422,986353.27,1368234.79,2819.512195121951,800.0,,,
2040,170,Berth,831500.0,545020.0,1252768.21,,,,,
2040,170,Intra,3314317.533,777733.4,0.0,226.98139389980443,1200.0,814.4533927105838,,
2040,170,Inter,1657158.765,194433.35,0.0,113.4906999453939,600.0,407.22669379664273,,
2040,170,Berth,582050.0,381514.0,536900.66,,,,,
2040,170,Intra,2241806.469,570290.27,790448.63,,1000.0,,54.054054054054056,
2040,170,Inter,1242943.706,189954.32,236622.9,,500.0,,229.72972972972974,
2040,170,Berth,498900.0,327012.0,304243.71,,,,,
2040,170,Intra,1230947.995,327012.0,136151.57,,600.0,,,211.05527638190955
2040,170,Inter,581436.104,81753.0,34037.89,,300.0,,,105.52763819095478
2040,170,Berth,291025.0,190757.0,125276.82,,,,,
2040,190,Intra,14006536.662,4412550.73,5474784.71,5743.90243902439,1500.0,,,
2040,190,Inter,5647980.544,1102394.83,1368234.79,2819.512195121951,800.0,,,
2040,190,Berth,831500.0,609140.0,1252768.21,,,,,
2040,190,Intra,3405815.579,869231.45,0.0,226.98139852677576,1200.0,814.453388758379,,
